診療科,テーマ,区分,医薬品名,読み,用量候補,全量候補,用法候補,使用部位候補,タイミング候補,日数/回分候補
循環器内科,血圧管理,内服,アムロジピンOD錠5mg,アムロジピンODジョウ5mg,1錠,,分1 朝食後,,,14 / 28 / 30 / 56
循環器内科,血圧管理,内服,アムロジピン錠2.5mg,アムロジピンジョウ2.5mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,ニフェジピンCR錠20mg,ニフェジピンCRジョウ20mg,1錠 / 2錠,,分1 朝食後 / 分2 朝夕食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,テルミサルタン錠40mg,テルミサルタンジョウ40mg,1錠,,分1 朝食後,,,14 / 28 / 30 / 56
循環器内科,血圧管理,内服,カンデサルタン錠8mg,カンデサルタンジョウ8mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,オルメサルタンOD錠20mg,オルメサルタンODジョウ20mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,ロサルタンK錠50mg,ロサルタンKジョウ50mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,エナラプリル錠5mg,エナラプリルジョウ5mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,アジルサルタン錠20mg,アジルサルタンジョウ20mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,ビソプロロールフマル酸塩錠2.5mg,ビソプロロールフマルサンエンジョウ2.5mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,カルベジロール錠10mg,カルベジロールジョウ10mg,1錠 / 2錠,,分1 朝食後 / 分2 朝夕食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,フロセミド錠20mg,フロセミドジョウ20mg,1錠,,分1 朝食後,,,7 / 14 / 28
循環器内科,血圧管理,内服,アゾセミド錠30mg,アゾセミドジョウ30mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,スピロノラクトン錠25mg,スピロノラクトンジョウ25mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,トリクロルメチアジド錠1mg,トリクロルメチアジドジョウ1mg,1錠,,分1 朝食後,,,14 / 28 / 30
循環器内科,血圧管理,内服,ドキサゾシン錠1mg,ドキサゾシンジョウ1mg,1錠,,分1 就寝前,,,14 / 28 / 30
内科,脂質管理,内服,ロスバスタチン錠2.5mg,ロスバスタチンジョウ2.5mg,1錠,,分1 夕食後 / 分1 朝食後,,,14 / 28 / 30 / 56
内科,脂質管理,内服,ロスバスタチン錠5mg,ロスバスタチンジョウ5mg,1錠,,分1 夕食後 / 分1 朝食後,,,14 / 28 / 30
内科,脂質管理,内服,アトルバスタチン錠10mg,アトルバスタチンジョウ10mg,1錠,,分1 夕食後 / 分1 朝食後,,,14 / 28 / 30
内科,脂質管理,内服,ピタバスタチンCa錠2mg,ピタバスタチンCaジョウ2mg,1錠,,分1 夕食後,,,14 / 28 / 30
内科,脂質管理,内服,プラバスタチンNa錠10mg,プラバスタチンNaジョウ10mg,1錠,,分1 夕食後,,,14 / 28 / 30
内科,脂質管理,内服,シンバスタチン錠5mg,シンバスタチンジョウ5mg,1錠,,分1 夕食後,,,14 / 28
内科,脂質管理,内服,エゼチミブ錠10mg,エゼチミブジョウ10mg,1錠,,分1 朝食後,,,14 / 28 / 30
内科,脂質管理,内服,フェノフィブラート錠80mg,フェノフィブラートジョウ80mg,1錠,,分1 朝食後,,,14 / 28 / 30
内科,脂質管理,内服,イコサペント酸エチル粒状カプセル900mg,イコサペントサンエチルリュウジョウカプセル900mg,2包 / 3包,,分2 朝夕食後 / 分3 毎食後,,,14 / 28 / 30
内科,脂質管理,内服,ベザフィブラートSR錠200mg,ベザフィブラートSRジョウ200mg,2錠,,分2 朝夕食後,,,14 / 28 / 30
糖尿病内科,生活習慣病,内服,メトホルミン塩酸塩錠250mg,メトホルミンエンサンエンジョウ250mg,2錠 / 3錠,,分2 朝夕食後 / 分3 毎食後,,,28 / 30 / 56
